Wavelength (nm)	Rel. spec. intensity (dB)
846.637	29.741
846.660	29.638
846.683	29.657
846.705	29.713
846.728	29.661
846.751	29.773
846.774	29.800
846.796	29.731
846.819	29.675
846.842	29.727
846.865	29.717
846.887	29.750
846.910	29.759
846.933	29.786
846.955	29.685
846.978	29.675
847.001	29.689
847.023	29.661
847.046	29.759
847.069	29.680
847.092	29.759
847.114	29.773
847.137	29.736
847.160	29.750
847.182	29.717
847.205	29.731
847.228	29.754
847.250	29.699
847.273	29.727
847.296	29.777
847.318	29.741
847.341	29.768
847.364	29.731
847.386	29.638
847.409	29.689
847.432	29.694
847.454	29.722
847.477	29.708
847.499	29.727
847.522	29.741
847.545	29.750
847.567	29.754
847.590	29.809
847.613	29.759
847.635	29.764
847.658	29.768
847.680	29.754
847.703	29.773
847.726	29.727
847.748	29.703
847.771	29.722
847.793	29.750
847.816	29.722
847.839	29.647
847.861	29.680
847.884	29.675
847.906	29.827
847.929	29.764
847.951	29.773
847.974	29.680
847.996	29.717
848.019	29.736
848.042	29.708
848.064	29.722
848.087	29.754
848.109	29.699
848.132	29.694
848.154	29.699
848.177	29.685
848.199	29.628
848.222	29.671
848.244	29.741
848.267	29.736
848.289	29.764
848.312	29.777
848.334	29.773
848.357	29.731
848.379	29.694
848.402	29.727
848.424	29.661
848.447	29.699
848.469	29.754
848.492	29.750
848.514	29.680
848.537	29.754
848.559	29.713
848.582	29.750
848.604	29.773
848.627	29.759
848.649	29.675
848.672	29.754
848.694	29.727
848.717	29.722
848.739	29.764
848.761	29.717
848.784	29.643
848.806	29.694
848.829	29.638
848.851	29.666
848.874	29.736
848.896	29.786
848.919	29.800
848.941	29.717
848.963	29.768
848.986	29.699
849.008	29.694
849.031	29.699
849.053	29.745
849.075	29.754
849.098	29.727
849.120	29.722
849.143	29.750
849.165	29.703
849.187	29.741
849.210	29.708
849.232	29.782
849.254	29.713
849.277	29.722
849.299	29.657
849.322	29.699
849.344	29.713
849.366	29.773
849.389	29.795
849.411	29.741
849.433	29.768
849.456	29.624
849.478	29.643
849.500	29.722
849.523	29.689
849.545	29.694
849.567	29.717
849.590	29.741
849.612	29.731
849.634	29.764
849.657	29.727
849.679	29.722
849.701	29.647
849.724	29.754
849.746	29.731
849.768	29.768
849.791	29.759
849.813	30.073
849.835	30.885
849.857	31.682
849.880	32.445
849.902	32.676
849.924	31.959
849.946	30.741
849.969	29.934
849.991	29.764
850.013	29.777
850.036	29.731
850.058	29.750
850.080	29.759
850.102	29.694
850.125	29.713
850.147	29.722
850.169	29.768
850.191	29.731
850.214	29.791
850.236	29.754
850.258	29.727
850.280	29.722
850.302	29.671
850.325	29.717
850.347	29.671
850.369	29.754
850.391	29.717
850.414	29.657
850.436	29.722
850.458	29.745
850.480	29.727
850.502	29.666
850.524	29.643
850.547	29.722
850.569	29.708
850.591	29.689
850.613	29.657
850.635	29.731
850.658	29.671
850.680	29.814
850.702	29.786
850.724	29.750
850.746	29.727
850.768	29.727
850.791	29.731
850.813	29.754
850.835	29.703
850.857	29.689
850.879	29.736
850.901	29.703
850.923	29.773
850.945	29.750
850.968	29.727
850.990	29.699
851.012	29.699
851.034	29.782
851.056	29.736
851.078	29.685
851.100	29.699
851.122	29.759
851.144	29.657
851.167	29.741
851.189	29.713
851.211	29.727
851.233	29.666
851.255	29.745
851.277	29.685
851.299	29.773
851.321	29.717
851.343	29.713
851.365	29.708
851.387	29.745
851.409	29.708
851.431	29.661
851.453	29.703
851.476	29.741
851.498	29.903
851.520	30.920
851.542	32.467
851.564	34.249
851.586	36.136
851.608	37.619
851.630	38.097
851.652	37.094
851.674	35.750
851.696	34.582
851.718	33.393
851.740	31.934
851.762	30.469
851.784	29.930
851.806	29.899
851.828	29.832
851.850	29.809
851.872	29.845
851.894	29.809
851.916	29.759
851.938	29.845
851.960	29.791
851.982	29.786
852.004	29.786
852.026	29.759
852.048	29.708
852.070	29.731
852.092	29.703
852.114	29.768
852.135	29.773
852.157	29.717
852.179	29.680
852.201	29.727
852.223	29.764
852.245	29.685
852.267	29.736
852.289	29.759
852.311	29.661
852.333	29.657
852.355	29.759
852.377	29.759
852.399	29.768
852.421	29.782
852.442	29.708
852.464	29.657
852.486	29.694
852.508	29.699
852.530	29.759
852.552	29.731
852.574	29.754
852.596	29.745
852.618	29.699
852.639	29.754
852.661	29.782
852.683	29.661
852.705	29.694
852.727	29.689
852.749	29.666
852.771	29.703
852.792	29.727
852.814	29.722
852.836	29.675
852.858	29.750
852.880	29.754
852.902	29.713
852.924	29.741
852.945	29.689
852.967	29.754
852.989	29.741
853.011	29.727
853.033	29.643
853.055	29.708
853.076	29.754
853.098	29.694
853.120	29.736
853.142	29.722
853.164	29.777
853.185	29.699
853.207	29.741
853.229	29.800
853.251	29.750
853.272	29.666
853.294	29.671
853.316	29.768
853.338	29.777
853.360	29.703
853.381	29.708
853.403	29.699
853.425	29.736
853.447	29.717
853.468	29.745
853.490	29.708
853.512	29.717
853.534	29.741
853.555	29.713
853.577	29.699
853.599	29.699
853.620	29.722
853.642	29.722
853.664	29.814
853.686	29.671
853.707	29.768
853.729	29.731
853.751	29.703
853.773	29.809
853.794	29.750
853.816	29.731
853.838	29.694
853.859	29.605
853.881	29.708
853.903	29.722
853.924	29.741
853.946	29.800
853.968	29.754
853.989	29.782
854.011	29.745
854.033	29.754
854.054	29.675
854.076	29.722
854.098	29.703
854.119	29.666
854.141	29.703
854.163	29.764
854.184	29.722
854.206	29.782
854.228	29.795
854.249	29.786
854.271	29.713
854.292	29.703
854.314	29.741
854.336	29.741
854.357	29.666
854.379	29.722
854.401	29.736
854.422	29.736
854.444	29.708
854.465	29.782
854.487	29.750
854.509	29.731
854.530	29.680
854.552	29.745
854.573	29.708
854.595	29.754
854.617	29.727
854.638	29.745
854.660	29.736
854.681	29.722
854.703	29.759
854.724	29.736
854.746	29.782
854.767	29.736
854.789	29.764
854.811	29.713
854.832	29.750
854.854	29.773
854.875	29.717
854.897	29.741
854.918	29.727
854.940	29.680
854.961	29.628
854.983	29.768
855.004	29.671
855.026	29.671
855.047	29.745
855.069	29.666
855.090	29.759
855.112	29.694
855.133	29.703
855.155	29.741
855.176	29.777
855.198	29.638
855.219	29.643
855.241	29.741
855.262	29.736
855.284	29.786
855.305	29.685
855.327	29.759
855.348	29.722
855.370	29.745
855.391	29.764
855.413	29.605
855.434	29.699
855.456	29.731
855.477	29.750
855.498	29.717
855.520	29.745
855.541	29.750
855.563	29.694
855.584	29.685
855.606	29.717
855.627	29.764
855.648	29.768
855.670	29.713
855.691	29.773
855.713	29.708
855.734	29.731
855.755	29.703
855.777	29.768
855.798	29.722
855.820	29.652
855.841	29.685
855.862	29.652
855.884	29.731
855.905	29.722
855.927	29.717
855.948	29.754
855.969	29.689
855.991	29.703
856.012	29.764
856.033	29.713
856.055	29.647
856.076	29.708
856.098	29.736
856.119	29.717
856.140	29.699
856.162	29.666
856.183	29.754
856.204	29.773
856.226	29.722
856.247	29.713
856.268	29.680
856.290	29.731
856.311	29.736
856.332	29.759
856.354	29.750
856.375	29.736
856.396	29.731
856.417	29.754
856.439	29.727
856.460	29.741
856.481	29.727
856.503	29.722
856.524	29.699
856.545	29.782
856.566	29.576
856.588	29.685
856.609	29.680
