Wavelength (nm)	Rel. spec. intensity (dB)
846.204	29.786
846.227	29.890
846.250	29.877
846.273	29.841
846.296	29.899
846.318	29.782
846.341	29.886
846.364	29.868
846.387	29.877
846.410	29.805
846.432	29.868
846.455	29.805
846.478	29.836
846.501	29.818
846.523	29.859
846.546	29.868
846.569	29.894
846.592	29.786
846.614	29.841
846.637	29.841
846.660	29.854
846.683	29.872
846.705	29.899
846.728	29.859
846.751	29.872
846.774	29.886
846.796	29.823
846.819	29.800
846.842	29.863
846.865	29.791
846.887	29.823
846.910	29.782
846.933	29.841
846.955	29.832
846.978	29.795
847.001	29.859
847.023	29.886
847.046	29.759
847.069	29.768
847.092	29.764
847.114	29.921
847.137	29.741
847.160	29.823
847.182	29.845
847.205	29.764
847.228	29.836
847.250	29.832
847.273	29.841
847.296	29.868
847.318	29.881
847.341	29.823
847.364	29.850
847.386	29.903
847.409	29.877
847.432	29.841
847.454	29.872
847.477	29.814
847.499	29.786
847.522	29.809
847.545	29.750
847.567	29.868
847.590	29.832
847.613	29.800
847.635	29.836
847.658	29.845
847.680	29.782
847.703	29.877
847.726	29.859
847.748	29.868
847.771	29.850
847.793	29.890
847.816	29.832
847.839	29.791
847.861	29.877
847.884	29.863
847.906	29.863
847.929	29.832
847.951	29.854
847.974	29.934
847.996	29.805
848.019	29.814
848.042	29.921
848.064	29.795
848.087	29.841
848.109	29.877
848.132	29.832
848.154	29.764
848.177	29.745
848.199	29.877
848.222	29.786
848.244	29.868
848.267	29.782
848.289	29.768
848.312	29.841
848.334	29.850
848.357	29.814
848.379	29.782
848.402	29.845
848.424	29.841
848.447	29.868
848.469	29.845
848.492	29.754
848.514	29.814
848.537	29.859
848.559	29.800
848.582	29.786
848.604	29.827
848.627	29.773
848.649	29.805
848.672	29.912
848.694	29.800
848.717	29.827
848.739	29.777
848.761	29.841
848.784	29.814
848.806	29.791
848.829	29.814
848.851	29.836
848.874	29.872
848.896	29.863
848.919	29.832
848.941	29.800
848.963	29.836
848.986	29.809
849.008	29.872
849.031	29.841
849.053	29.863
849.075	29.795
849.098	29.809
849.120	29.832
849.143	29.854
849.165	29.782
849.187	29.786
849.210	29.777
849.232	29.795
849.254	29.886
849.277	29.881
849.299	29.845
849.322	29.773
849.344	29.912
849.366	29.877
849.389	29.845
849.411	29.877
849.433	29.795
849.456	29.859
849.478	29.903
849.500	29.777
849.523	29.845
849.545	29.823
849.567	29.877
849.590	29.868
849.612	29.791
849.634	29.795
849.657	29.786
849.679	29.795
849.701	29.832
849.724	29.877
849.746	29.818
849.768	29.805
849.791	29.877
849.813	29.890
849.835	29.921
849.857	29.832
849.880	29.886
849.902	29.886
849.924	29.872
849.946	29.912
849.969	29.881
849.991	29.863
850.013	29.934
850.036	29.974
850.058	30.302
850.080	30.678
850.102	31.303
850.125	31.847
850.147	31.676
850.169	30.599
850.191	30.039
850.214	29.881
850.236	29.836
850.258	29.845
850.280	29.899
850.302	29.782
850.325	29.877
850.347	29.850
850.369	29.841
850.391	29.836
850.414	29.832
850.436	29.996
850.458	30.095
850.480	30.504
850.502	31.024
850.524	31.405
850.547	31.685
850.569	31.965
850.591	32.133
850.613	32.418
850.635	33.156
850.658	34.145
850.680	35.041
850.702	35.117
850.724	35.111
850.746	33.995
850.768	32.725
850.791	31.427
850.813	30.500
850.835	30.120
850.857	29.969
850.879	29.886
850.901	29.930
850.923	29.921
850.945	29.930
850.968	29.978
850.990	30.212
851.012	30.599
851.034	31.271
851.056	32.467
851.078	33.749
851.100	35.276
851.122	36.838
851.144	37.993
851.167	38.226
851.189	38.788
851.211	38.712
851.233	38.310
851.255	37.759
851.277	35.934
851.299	34.322
851.321	32.887
851.343	31.156
851.365	30.306
851.387	30.052
851.409	29.863
851.431	29.908
851.453	29.921
851.476	29.890
851.498	29.877
851.520	29.836
851.542	30.013
851.564	30.674
851.586	31.483
851.608	32.497
851.630	33.522
851.652	34.692
851.674	35.558
851.696	35.347
851.718	34.163
851.740	32.799
851.762	31.109
851.784	30.191
851.806	30.065
851.828	29.921
851.850	29.969
851.872	29.917
851.894	29.872
851.916	29.886
851.938	29.841
851.960	29.841
851.982	29.859
852.004	29.868
852.026	29.836
852.048	29.814
852.070	29.868
852.092	29.854
852.114	29.782
852.135	29.836
852.157	29.894
852.179	29.877
852.201	29.818
852.223	29.881
852.245	29.836
852.267	29.850
852.289	29.782
852.311	29.777
852.333	29.800
852.355	29.863
852.377	29.859
852.399	29.795
852.421	29.908
852.442	29.836
852.464	29.814
852.486	29.854
852.508	29.814
852.530	29.791
852.552	29.768
852.574	29.786
852.596	29.800
852.618	29.868
852.639	29.850
852.661	29.805
852.683	29.863
852.705	29.845
852.727	29.845
852.749	29.899
852.771	29.827
852.792	29.823
852.814	29.850
852.836	29.854
852.858	29.899
852.880	29.872
852.902	29.850
852.924	29.934
852.945	29.899
852.967	29.850
852.989	29.818
853.011	29.859
853.033	29.823
853.055	29.782
853.076	29.903
853.098	29.872
853.120	29.886
853.142	29.845
853.164	29.800
853.185	29.890
853.207	29.868
853.229	29.943
853.251	29.777
853.272	29.845
853.294	29.764
853.316	29.845
853.338	29.912
853.360	29.859
853.381	29.917
853.403	29.841
853.425	29.854
853.447	29.921
853.468	29.886
853.490	29.872
853.512	29.872
853.534	29.809
853.555	29.859
853.577	29.832
853.599	29.759
853.620	29.809
853.642	29.741
853.664	29.800
853.686	29.845
853.707	29.782
853.729	29.832
853.751	29.863
853.773	29.850
853.794	29.899
853.816	29.841
853.838	29.921
853.859	29.868
853.881	29.863
853.903	29.868
853.924	29.877
853.946	29.917
853.968	29.845
853.989	29.841
854.011	29.832
854.033	29.786
854.054	29.814
854.076	29.859
854.098	29.894
854.119	29.805
854.141	29.872
854.163	29.814
854.184	29.850
854.206	29.850
854.228	29.881
854.249	29.845
854.271	29.795
854.292	29.859
854.314	29.823
854.336	29.809
854.357	29.903
854.379	29.800
854.401	29.863
854.422	29.886
854.444	29.948
854.465	29.903
854.487	29.782
854.509	29.795
854.530	29.782
854.552	29.782
854.573	29.809
854.595	29.823
854.617	29.791
854.638	29.859
854.660	29.800
854.681	29.921
854.703	29.809
854.724	29.845
854.746	29.854
854.767	29.841
854.789	29.872
854.811	29.809
854.832	29.777
