Current (mA)	Voltage (V)	Power (mW)
0.00000	0.11271	0.00233
0.05000	0.69285	0.00218
0.10000	1.32964	0.00193
0.15000	1.35475	0.00211
0.20000	1.37360	0.00185
0.25000	1.38833	0.00155
0.30000	1.40116	0.00207
0.35000	1.41231	0.00222
0.40000	1.42219	0.00181
0.45000	1.43124	0.00197
0.50000	1.43952	0.00204
0.55000	1.44730	0.00252
0.60000	1.45454	0.00241
0.65000	1.46138	0.00189
0.70000	1.46798	0.00256
0.75000	1.47410	0.00245
0.80000	1.48003	0.00275
0.85000	1.48555	0.00241
0.90000	1.49119	0.00256
0.95000	1.49629	0.00316
1.00000	1.50140	0.00312
1.05000	1.50635	0.00304
1.10000	1.51102	0.00331
1.15000	1.51565	0.00360
1.20000	1.51993	0.00316
1.25000	1.52442	0.00342
1.30000	1.52858	0.00406
1.35000	1.53279	0.00410
1.40000	1.53682	0.00410
1.45000	1.54073	0.00424
1.50000	1.54469	0.00410
1.55000	1.54840	0.00458
1.60000	1.55210	0.00481
1.65000	1.55566	0.00506
1.70000	1.55936	0.00465
1.75000	1.56289	0.00510
1.80000	1.56628	0.00488
1.85000	1.56980	0.00498
1.90000	1.57305	0.00510
1.95000	1.57634	0.00562
2.00000	1.57965	0.00585
2.05000	1.58286	0.00592
2.10000	1.58610	0.00573
2.15000	1.58915	0.00619
2.20000	1.59219	0.00630
2.25000	1.59526	0.00660
2.30000	1.59829	0.00675
2.35000	1.60123	0.00644
2.40000	1.60426	0.00690
2.45000	1.60711	0.00734
2.50000	1.60991	0.00734
2.55000	1.61282	0.00734
2.60000	1.61557	0.00776
2.65000	1.61841	0.00805
2.70000	1.62120	0.00865
2.75000	1.62389	0.00840
2.80000	1.62660	0.00895
2.85000	1.62921	0.00944
2.90000	1.63192	0.00982
2.95000	1.63448	0.00989
3.00000	1.63706	0.01093
3.05000	1.63979	0.01187
3.10000	1.64225	0.01291
3.15000	1.64476	0.01414
3.20000	1.64718	0.01679
3.25000	1.64962	0.02060
3.30000	1.65190	0.02535
3.35000	1.65422	0.03353
3.40000	1.65644	0.04184
3.45000	1.65869	0.05194
3.50000	1.66084	0.06202
3.55000	1.66299	0.07178
3.60000	1.66517	0.08206
3.65000	1.66735	0.09234
3.70000	1.66955	0.10169
3.75000	1.67162	0.11152
3.80000	1.67378	0.12068
3.85000	1.67599	0.13040
3.90000	1.67807	0.13956
3.95000	1.68020	0.14857
4.00000	1.68231	0.15694
4.05000	1.68442	0.16550
4.10000	1.68655	0.17421
4.15000	1.68866	0.18225
4.20000	1.69080	0.19107
4.25000	1.69278	0.19907
4.30000	1.69492	0.20786
4.35000	1.69691	0.21548
