Wavelength (nm)	Rel. spec. intensity (dB)
848.604	29.777
848.627	29.764
848.649	29.722
848.672	29.741
848.694	29.768
848.717	29.708
848.739	29.736
848.761	29.773
848.784	29.764
848.806	29.731
848.829	29.782
848.851	29.777
848.874	29.800
848.896	29.680
848.919	29.666
848.941	29.782
848.963	29.759
848.986	29.661
849.008	29.717
849.031	29.727
849.053	29.764
849.075	29.717
849.098	29.736
849.120	29.680
849.143	29.717
849.165	29.750
849.187	29.708
849.210	29.782
849.232	29.703
849.254	29.717
849.277	29.805
849.299	29.791
849.322	29.777
849.344	29.786
849.366	29.773
849.389	29.713
849.411	29.791
849.433	29.823
849.456	29.754
849.478	29.800
849.500	29.791
849.523	29.791
849.545	29.736
849.567	29.777
849.590	29.786
849.612	29.809
849.634	29.786
849.657	29.745
849.679	29.736
849.701	29.717
849.724	29.777
849.746	29.754
849.768	29.699
849.791	29.745
849.813	29.805
849.835	29.708
849.857	29.754
849.880	29.814
849.902	29.782
849.924	29.768
849.946	29.754
849.969	29.768
849.991	29.731
850.013	29.814
850.036	29.731
850.058	29.754
850.080	29.736
850.102	29.750
850.125	29.736
850.147	29.818
850.169	29.741
850.191	29.800
850.214	29.814
850.236	29.791
850.258	29.841
850.280	29.685
850.302	29.795
850.325	29.777
850.347	29.745
850.369	29.689
850.391	29.652
850.414	29.689
850.436	29.722
850.458	29.717
850.480	29.731
850.502	29.786
850.524	29.800
850.547	29.791
850.569	29.818
850.591	29.823
850.613	29.800
850.635	29.727
850.658	29.809
850.680	29.708
850.702	29.741
850.724	29.736
850.746	29.791
850.768	29.805
850.791	29.699
850.813	29.741
850.835	29.713
850.857	29.886
850.879	29.741
850.901	29.754
850.923	29.786
850.945	29.768
850.968	29.841
850.990	29.750
851.012	29.741
851.034	29.741
851.056	29.736
851.078	29.773
851.100	29.768
851.122	29.750
851.144	29.890
851.167	29.773
851.189	29.818
851.211	29.800
851.233	29.773
851.255	29.791
851.277	29.800
851.299	29.800
851.321	29.836
851.343	29.713
851.365	29.786
851.387	29.786
851.409	29.768
851.431	29.805
851.453	29.805
851.476	29.827
851.498	29.694
851.520	29.736
851.542	29.759
851.564	29.795
851.586	29.703
851.608	29.731
851.630	29.795
851.652	29.731
851.674	29.750
851.696	29.777
851.718	29.777
851.740	29.741
851.762	29.736
851.784	29.759
851.806	29.754
851.828	29.671
851.850	29.768
851.872	29.782
851.894	29.745
851.916	29.814
851.938	29.764
851.960	29.791
851.982	29.768
852.004	29.773
852.026	29.795
852.048	29.795
852.070	29.795
852.092	29.736
852.114	29.680
852.135	29.814
852.157	29.795
852.179	29.703
852.201	29.741
852.223	29.786
852.245	29.731
852.267	29.764
852.289	29.827
852.311	29.805
852.333	29.773
852.355	29.764
852.377	29.791
852.399	29.791
852.421	29.814
852.442	29.727
852.464	29.841
852.486	29.764
852.508	29.832
852.530	29.694
852.552	29.795
852.574	29.717
852.596	29.773
852.618	29.791
852.639	29.809
852.661	29.736
852.683	29.736
852.705	29.786
852.727	29.689
852.749	29.791
852.771	29.768
852.792	29.722
852.814	29.703
852.836	29.791
852.858	29.823
852.880	29.782
852.902	29.764
852.924	29.703
852.945	29.759
852.967	29.736
852.989	29.768
853.011	29.768
853.033	29.836
853.055	29.713
853.076	29.759
853.098	29.768
853.120	29.777
853.142	29.727
853.164	29.694
853.185	29.713
853.207	29.791
853.229	29.750
853.251	29.764
853.272	29.795
853.294	29.814
853.316	29.773
853.338	29.764
853.360	29.764
853.381	29.754
853.403	29.782
853.425	29.759
853.447	29.661
853.468	29.741
853.490	29.814
853.512	30.199
853.534	31.652
853.555	32.956
853.577	34.246
853.599	35.319
853.620	35.257
853.642	33.885
853.664	33.008
853.686	31.703
853.707	30.500
853.729	30.039
853.751	29.863
853.773	29.800
853.794	29.823
853.816	29.881
853.838	29.845
853.859	29.818
853.881	29.782
853.903	29.786
853.924	29.722
853.946	29.773
853.968	29.800
853.989	29.722
854.011	29.823
854.033	29.809
854.054	29.768
854.076	29.795
854.098	29.722
854.119	29.791
854.141	29.832
854.163	29.708
854.184	29.759
854.206	29.791
854.228	29.768
854.249	29.773
854.271	29.768
854.292	29.859
854.314	29.722
