Wavelength (nm)	Rel. spec. intensity (dB)
844.622	29.823
844.645	29.777
844.668	29.736
844.692	29.759
844.715	29.791
844.738	29.768
844.761	29.777
844.784	29.814
844.807	29.786
844.830	29.736
844.853	29.809
844.876	29.800
844.899	29.791
844.922	29.745
844.945	29.768
844.968	29.791
844.991	29.795
845.014	29.736
845.037	29.759
845.060	29.731
845.083	29.741
845.105	29.722
845.128	29.661
845.151	29.777
845.174	29.736
845.197	29.777
845.220	29.689
845.243	29.754
845.266	29.764
845.289	29.773
845.312	29.768
845.335	29.773
845.358	29.741
845.381	29.768
845.404	29.773
845.427	29.764
845.450	29.731
845.473	29.750
845.496	29.777
845.518	29.795
845.541	29.750
845.564	29.754
845.587	29.791
845.610	29.795
845.633	29.736
845.656	29.777
845.679	29.741
845.702	29.741
845.724	29.768
845.747	29.745
845.770	29.699
845.793	29.731
845.816	29.699
845.839	29.717
845.862	29.699
845.885	29.782
845.907	29.832
845.930	29.764
845.953	29.768
845.976	29.699
845.999	29.777
846.022	29.773
846.045	29.741
846.067	29.809
846.090	29.886
846.113	29.832
846.136	29.791
846.159	29.805
846.182	29.818
846.204	29.777
846.227	29.708
846.250	29.886
846.273	29.750
846.296	29.689
846.318	29.786
846.341	29.759
846.364	29.809
846.387	29.731
846.410	29.764
846.432	29.809
846.455	29.717
846.478	29.759
846.501	29.814
846.523	29.832
846.546	29.805
846.569	29.777
846.592	29.741
846.614	29.736
846.637	29.764
846.660	29.759
846.683	29.713
846.705	29.652
846.728	29.699
846.751	29.741
846.774	29.731
846.796	29.814
846.819	29.727
846.842	29.717
846.865	29.741
846.887	29.694
846.910	29.689
846.933	29.736
846.955	29.795
846.978	29.791
847.001	29.727
847.023	29.768
847.046	29.777
847.069	29.745
847.092	29.708
847.114	29.741
847.137	29.777
847.160	29.768
847.182	29.708
847.205	29.661
847.228	29.614
847.250	29.647
847.273	29.750
847.296	29.741
847.318	29.800
847.341	29.782
847.364	29.727
847.386	29.773
847.409	29.795
847.432	29.786
847.454	29.722
847.477	29.754
847.499	29.722
847.522	29.713
847.545	29.731
847.567	29.727
847.590	29.703
847.613	29.768
847.635	29.699
847.658	29.827
847.680	29.809
847.703	29.805
847.726	29.791
847.748	29.786
847.771	29.745
847.793	29.736
847.816	29.750
847.839	29.708
847.861	29.694
847.884	29.754
847.906	29.786
847.929	29.759
847.951	29.727
847.974	29.773
847.996	29.795
848.019	29.777
848.042	29.754
848.064	29.786
848.087	29.805
848.109	29.854
848.132	29.823
848.154	29.750
848.177	29.754
848.199	29.786
848.222	29.708
848.244	29.699
848.267	29.657
848.289	29.823
848.312	29.768
848.334	29.754
848.357	29.814
848.379	29.809
848.402	29.759
848.424	29.805
848.447	29.731
848.469	29.832
848.492	29.727
848.514	29.722
848.537	29.773
848.559	29.890
848.582	29.754
848.604	29.731
848.627	29.782
848.649	29.791
848.672	29.832
848.694	29.827
848.717	29.800
848.739	29.680
848.761	29.827
848.784	29.809
848.806	29.827
848.829	29.768
848.851	29.777
848.874	29.791
848.896	29.814
