Current (mA)	Voltage (V)	Power (mW)
0.00000	0.10815	0.00174
0.05000	0.76051	0.00155
0.10000	1.33822	0.00166
0.15000	1.36432	0.00143
0.20000	1.38402	0.00140
0.25000	1.39937	0.00114
0.30000	1.41291	0.00140
0.35000	1.42465	0.00126
0.40000	1.43502	0.00162
0.45000	1.44469	0.00118
0.50000	1.45342	0.00170
0.55000	1.46172	0.00178
0.60000	1.46926	0.00204
0.65000	1.47655	0.00189
0.70000	1.48360	0.00211
0.75000	1.48995	0.00178
0.80000	1.49629	0.00200
0.85000	1.50217	0.00222
0.90000	1.50803	0.00222
0.95000	1.51344	0.00282
1.00000	1.51891	0.00278
1.05000	1.52423	0.00278
1.10000	1.52918	0.00285
1.15000	1.53406	0.00320
1.20000	1.53863	0.00327
1.25000	1.54344	0.00304
1.30000	1.54779	0.00331
1.35000	1.55225	0.00353
1.40000	1.55668	0.00372
1.45000	1.56081	0.00368
1.50000	1.56495	0.00339
1.55000	1.56894	0.00394
1.60000	1.57294	0.00406
1.65000	1.57686	0.00450
1.70000	1.58073	0.00431
1.75000	1.58444	0.00469
1.80000	1.58819	0.00491
1.85000	1.59181	0.00488
1.90000	1.59534	0.00469
1.95000	1.59888	0.00536
2.00000	1.60233	0.00540
2.05000	1.60578	0.00581
2.10000	1.60926	0.00581
2.15000	1.61248	0.00569
2.20000	1.61597	0.00682
2.25000	1.61904	0.00694
2.30000	1.62239	0.00675
2.35000	1.62540	0.00719
2.40000	1.62868	0.00847
2.45000	1.63177	0.00899
2.50000	1.63476	0.01074
2.55000	1.63774	0.01306
2.60000	1.64060	0.01694
2.65000	1.64346	0.02453
2.70000	1.64610	0.03403
2.75000	1.64870	0.04490
2.80000	1.65134	0.05637
2.85000	1.65378	0.06808
2.90000	1.65631	0.07963
2.95000	1.65878	0.09085
3.00000	1.66137	0.10288
3.05000	1.66391	0.11451
3.10000	1.66632	0.12513
3.15000	1.66892	0.13597
3.20000	1.67132	0.14603
3.25000	1.67382	0.15678
3.30000	1.67630	0.16737
3.35000	1.67874	0.17765
3.40000	1.68123	0.18745
3.45000	1.68368	0.19713
3.50000	1.68620	0.20707
3.55000	1.68862	0.21619
3.60000	1.69113	0.22523
3.65000	1.69341	0.23448
3.70000	1.69588	0.24341
3.75000	1.69838	0.25241
3.80000	1.70069	0.26053
3.85000	1.70313	0.26965
3.90000	1.70545	0.27832
3.95000	1.70780	0.28707
4.00000	1.71017	0.29596
4.05000	1.71253	0.30539
4.10000	1.71487	0.31500
4.15000	1.71711	0.32427
4.20000	1.71947	0.33354
4.25000	1.72164	0.34262
4.30000	1.72399	0.35234
4.35000	1.72620	0.36191
4.40000	1.72851	0.37151
4.45000	1.73080	0.38049
4.50000	1.73301	0.39055
4.55000	1.73534	0.39996
4.60000	1.73747	0.40942
4.65000	1.73973	0.41888
4.70000	1.74195	0.42838
4.75000	1.74407	0.43821
4.80000	1.74628	0.44819
4.85000	1.74846	0.45624
4.90000	1.75072	0.46553
4.95000	1.75282	0.47466
5.00000	1.75502	0.48336
5.05000	1.75722	0.49129
5.10000	1.75936	0.49948
5.15000	1.76157	0.50778
5.20000	1.76365	0.51612
5.25000	1.76588	0.52352
5.30000	1.76800	0.53070
5.35000	1.77010	0.53926
5.40000	1.77225	0.54611
5.45000	1.77431	0.55275
5.50000	1.77652	0.55922
5.55000	1.77860	0.56595
5.60000	1.78073	0.57264
5.65000	1.78290	0.57847
5.70000	1.78489	0.58404
5.75000	1.78704	0.59055
5.80000	1.78912	0.59567
5.85000	1.79121	0.60105
5.90000	1.79325	0.60573
5.95000	1.79536	0.61074
6.00000	1.79740	0.61563
6.05000	1.79950	0.62038
6.10000	1.80157	0.62442
6.15000	1.80365	0.62826
6.20000	1.80569	0.63223
6.25000	1.80768	0.63619
6.30000	1.80977	0.63888
6.35000	1.81178	0.64225
6.40000	1.81391	0.64663
6.45000	1.81585	0.64861
6.50000	1.81785	0.65085
6.55000	1.81987	0.65327
6.60000	1.82179	0.65529
6.65000	1.82392	0.65784
6.70000	1.82580	0.65915
6.75000	1.82787	0.65997
6.80000	1.82990	0.66235
6.85000	1.83187	0.66281
6.90000	1.83386	0.66352
6.95000	1.83585	0.66400
7.00000	1.83785	0.66449
7.05000	1.83982	0.66416
7.10000	1.84177	0.66449
7.15000	1.84376	0.66329
7.20000	1.84554	0.66296
7.25000	1.84757	0.66251
7.30000	1.84951	0.66120
7.35000	1.85140	0.65993
7.40000	1.85336	0.65836
7.45000	1.85527	0.65615
7.50000	1.85721	0.65429
7.55000	1.85911	0.65164
7.60000	1.86095	0.64909
7.65000	1.86285	0.64598
7.70000	1.86477	0.64318
7.75000	1.86662	0.64030
7.80000	1.86850	0.63575
7.85000	1.87040	0.63156
7.90000	1.87226	0.62811
7.95000	1.87420	0.62337
8.00000	1.87590	0.61895
8.05000	1.87783	0.61398
8.10000	1.87969	0.60876
8.15000	1.88155	0.60360
8.20000	1.88342	0.59694
8.25000	1.88514	0.59107
8.30000	1.88705	0.58498
8.35000	1.88879	0.57899
8.40000	1.89063	0.57185
8.45000	1.89245	0.56446
8.50000	1.89424	0.55686
8.55000	1.89608	0.55002
8.60000	1.89774	0.54202
8.65000	1.89962	0.53335
8.70000	1.90133	0.52614
8.75000	1.90309	0.51732
8.80000	1.90498	0.50797
8.85000	1.90667	0.49900
8.90000	1.90843	0.48906
8.95000	1.91022	0.48067
9.00000	1.91199	0.47088
9.05000	1.91367	0.46015
9.10000	1.91541	0.44987
9.15000	1.91724	0.43933
9.20000	1.91885	0.42797
9.25000	1.92063	0.41627
9.30000	1.92227	0.40491
9.35000	1.92404	0.39332
9.40000	1.92573	0.38136
9.45000	1.92743	0.36819
9.50000	1.92909	0.35507
9.55000	1.93072	0.34232
9.60000	1.93254	0.32871
9.65000	1.93420	0.31489
9.70000	1.93584	0.30072
9.75000	1.93747	0.28652
9.80000	1.93915	0.27241
9.85000	1.94082	0.25686
9.90000	1.94244	0.24202
9.95000	1.94411	0.22677
10.00000	1.94577	0.21096
10.05000	1.94732	0.19455
10.10000	1.94904	0.17843
10.15000	1.95059	0.16139
10.20000	1.95223	0.14482
10.25000	1.95381	0.12856
10.30000	1.95540	0.11208
10.35000	1.95702	0.09709
10.40000	1.95862	0.08221
10.45000	1.96033	0.06774
10.50000	1.96186	0.05522
10.55000	1.96340	0.04516
10.60000	1.96501	0.03765
10.65000	1.96659	0.03242
10.70000	1.96810	0.02954
10.75000	1.96972	0.02580
10.80000	1.97132	0.02464
10.85000	1.97282	0.02273
10.90000	1.97437	0.02135
10.95000	1.97596	0.02038
11.00000	1.97751	0.02011
11.05000	1.97904	0.01915
11.10000	1.98066	0.01829
11.15000	1.98219	0.01735
11.20000	1.98375	0.01687
11.25000	1.98527	0.01668
11.30000	1.98684	0.01645
11.35000	1.98836	0.01620
11.40000	1.98988	0.01582
11.45000	1.99148	0.01545
11.50000	1.99307	0.01537
11.55000	1.99450	0.01481
11.60000	1.99607	0.01478
11.65000	1.99758	0.01474
11.70000	1.99911	0.01447
11.75000	2.00062	0.01439
11.80000	2.00216	0.01357
11.85000	2.00366	0.01376
11.90000	2.00513	0.01407
11.95000	2.00674	0.01349
12.00000	2.00818	0.01325
12.05000	2.00973	0.01329
12.10000	2.01120	0.01329
12.15000	2.01275	0.01347
12.20000	2.01425	0.01251
12.25000	2.01575	0.01283
12.30000	2.01728	0.01299
12.35000	2.01878	0.01295
12.40000	2.02029	0.01276
12.45000	2.02179	0.01239
12.50000	2.02328	0.01231
12.55000	2.02481	0.01258
12.60000	2.02632	0.01209
12.65000	2.02776	0.01164
12.70000	2.02920	0.01262
12.75000	2.03074	0.01216
12.80000	2.03223	0.01183
12.85000	2.03369	0.01138
12.90000	2.03517	0.01149
12.95000	2.03667	0.01145
13.00000	2.03820	0.01157
13.05000	2.03961	0.01138
13.10000	2.04115	0.01138
13.15000	2.04265	0.01138
13.20000	2.04408	0.01145
13.25000	2.04557	0.01120
13.30000	2.04705	0.01145
