Current (mA)	Voltage (V)	Power (mW)
0.00000	0.09866	0.00207
0.05000	0.65375	0.00204
0.10000	1.44907	0.00185
0.15000	1.48375	0.00218
0.20000	1.51168	0.00222
0.25000	1.53453	0.00230
0.30000	1.55496	0.00185
0.35000	1.57331	0.00249
0.40000	1.58933	0.00264
0.45000	1.60414	0.00566
0.50000	1.61584	0.01888
0.55000	1.62607	0.04273
0.60000	1.63540	0.06599
0.65000	1.64511	0.09025
0.70000	1.65439	0.11425
0.75000	1.66345	0.13855
0.80000	1.67252	0.16266
0.85000	1.68114	0.18632
0.90000	1.69002	0.21029
0.95000	1.69843	0.23410
1.00000	1.70696	0.25799
1.05000	1.71541	0.28210
1.10000	1.72344	0.30446
1.15000	1.73162	0.32876
1.20000	1.73952	0.35178
1.25000	1.74741	0.37548
1.30000	1.75508	0.39777
1.35000	1.76280	0.42124
1.40000	1.77051	0.44499
1.45000	1.77787	0.46738
1.50000	1.78537	0.49015
1.55000	1.79255	0.51217
1.60000	1.79984	0.53583
1.65000	1.80685	0.55729
1.70000	1.81402	0.57968
1.75000	1.82104	0.60188
1.80000	1.82788	0.62334
1.85000	1.83474	0.64547
1.90000	1.84138	0.66712
1.95000	1.84820	0.68839
2.00000	1.85462	0.70914
2.05000	1.86117	0.73082
2.10000	1.86769	0.75217
2.15000	1.87395	0.77228
2.20000	1.88033	0.79348
2.25000	1.88648	0.81337
2.30000	1.89273	0.83374
2.35000	1.89870	0.85352
2.40000	1.90479	0.87370
2.45000	1.91092	0.89397
2.50000	1.91661	0.91280
2.55000	1.92266	0.93247
2.60000	1.92824	0.95094
2.65000	1.93410	0.97030
2.70000	1.93980	0.98904
2.75000	1.94535	1.00664
2.80000	1.95091	1.02492
2.85000	1.95629	1.04305
2.90000	1.96186	1.06092
2.95000	1.96712	1.07816
3.00000	1.97256	1.09476
3.05000	1.97794	1.11180
3.10000	1.98306	1.12933
3.15000	1.98823	1.14515
3.20000	1.99329	1.16093
3.25000	1.99837	1.17770
3.30000	2.00331	1.19311
3.35000	2.00841	1.20956
3.40000	2.01358	1.22548
3.45000	2.01849	1.24168
3.50000	2.02360	1.25782
3.55000	2.02842	1.27300
3.60000	2.03341	1.28896
3.65000	2.03809	1.30354
3.70000	2.04291	1.31846
3.75000	2.04773	1.33322
3.80000	2.05236	1.34687
3.85000	2.05710	1.36134
3.90000	2.06167	1.37554
3.95000	2.06631	1.38885
4.00000	2.07077	1.40235
4.05000	2.07542	1.41558
4.10000	2.07993	1.42949
4.15000	2.08444	1.44253
4.20000	2.08890	1.45581
4.25000	2.09325	1.46806
4.30000	2.09768	1.48149
4.35000	2.10192	1.49338
4.40000	2.10627	1.50526
4.45000	2.11071	1.51700
4.50000	2.11481	1.52833
4.55000	2.11906	1.54014
4.60000	2.12318	1.55080
4.65000	2.12731	1.56156
4.70000	2.13135	1.57154
4.75000	2.13557	1.58183
4.80000	2.13956	1.59173
4.85000	2.14352	1.60093
4.90000	2.14745	1.61027
4.95000	2.15133	1.61937
5.00000	2.15526	1.62826
5.05000	2.15907	1.63603
5.10000	2.16302	1.64440
5.15000	2.16678	1.65263
5.20000	2.17050	1.65966
5.25000	2.17432	1.66732
5.30000	2.17795	1.67367
5.35000	2.18168	1.68029
5.40000	2.18543	1.68692
5.45000	2.18899	1.69218
5.50000	2.19264	1.69858
5.55000	2.19605	1.70377
5.60000	2.19973	1.70870
5.65000	2.20317	1.71342
5.70000	2.20669	1.71749
5.75000	2.21013	1.72195
5.80000	2.21352	1.72561
5.85000	2.21694	1.72942
5.90000	2.22028	1.73304
5.95000	2.22361	1.73548
6.00000	2.22689	1.73817
6.05000	2.23027	1.74074
6.10000	2.23363	1.74235
6.15000	2.23675	1.74396
6.20000	2.23992	1.74527
6.25000	2.24309	1.74613
6.30000	2.24630	1.74744
6.35000	2.24933	1.74699
6.40000	2.25247	1.74696
6.45000	2.25559	1.74717
6.50000	2.25861	1.74640
6.55000	2.26172	1.74542
6.60000	2.26457	1.74358
6.65000	2.26758	1.74212
6.70000	2.27052	1.74018
6.75000	2.27349	1.73671
6.80000	2.27638	1.73387
6.85000	2.27922	1.73035
6.90000	2.28202	1.72617
6.95000	2.28474	1.72250
7.00000	2.28755	1.71786
7.05000	2.29038	1.71338
7.10000	2.29310	1.70837
7.15000	2.29589	1.70287
7.20000	2.29849	1.69686
7.25000	2.30115	1.69095
7.30000	2.30377	1.68456
7.35000	2.30649	1.67749
7.40000	2.30915	1.67043
7.45000	2.31168	1.66288
7.50000	2.31437	1.65506
7.55000	2.31687	1.64770
7.60000	2.31945	1.63887
7.65000	2.32189	1.63035
7.70000	2.32449	1.62100
7.75000	2.32698	1.61117
7.80000	2.32952	1.60160
7.85000	2.33186	1.59091
7.90000	2.33430	1.58108
7.95000	2.33671	1.56941
8.00000	2.33909	1.55787
8.05000	2.34144	1.54601
8.10000	2.34381	1.53353
8.15000	2.34607	1.52134
8.20000	2.34852	1.50841
8.25000	2.35067	1.49510
8.30000	2.35295	1.48111
8.35000	2.35522	1.46814
8.40000	2.35740	1.45289
8.45000	2.35968	1.43838
8.50000	2.36183	1.42320
8.55000	2.36396	1.40781
8.60000	2.36615	1.39259
8.65000	2.36824	1.37569
8.70000	2.37031	1.35928
8.75000	2.37254	1.34239
8.80000	2.37461	1.32460
8.85000	2.37645	1.30761
8.90000	2.37854	1.28896
8.95000	2.38056	1.27076
9.00000	2.38260	1.25109
9.05000	2.38458	1.23270
9.10000	2.38647	1.21237
9.15000	2.38854	1.19277
9.20000	2.39039	1.17296
9.25000	2.39244	1.15262
9.30000	2.39427	1.13195
9.35000	2.39615	1.11079
9.40000	2.39809	1.09056
9.45000	2.40002	1.06862
9.50000	2.40189	1.04570
9.55000	2.40369	1.02384
9.60000	2.40548	1.00036
9.65000	2.40723	0.97741
9.70000	2.40903	0.95337
9.75000	2.41082	0.93023
9.80000	2.41267	0.90612
9.85000	2.41439	0.88126
9.90000	2.41601	0.85669
9.95000	2.41775	0.83068
10.00000	2.41949	0.80709
10.05000	2.42114	0.78147
10.10000	2.42278	0.75692
10.15000	2.42456	0.73235
10.20000	2.42638	0.70887
10.25000	2.42804	0.68574
10.30000	2.42986	0.66185
10.35000	2.43146	0.63837
10.40000	2.43318	0.61441
10.45000	2.43496	0.59048
10.50000	2.43657	0.56660
10.55000	2.43832	0.54125
10.60000	2.43994	0.51781
10.65000	2.44164	0.49295
10.70000	2.44326	0.46760
10.75000	2.44488	0.44166
10.80000	2.44646	0.41519
10.85000	2.44806	0.38921
10.90000	2.44970	0.36262
10.95000	2.45119	0.33661
11.00000	2.45276	0.30898
11.05000	2.45418	0.28191
11.10000	2.45574	0.25354
11.15000	2.45725	0.22473
11.20000	2.45872	0.19609
11.25000	2.46022	0.16980
11.30000	2.46194	0.14610
11.35000	2.46365	0.12465
11.40000	2.46547	0.10401
11.45000	2.46728	0.08338
11.50000	2.46921	0.06300
11.55000	2.47095	0.04461
11.60000	2.47301	0.02845
11.65000	2.47508	0.01963
11.70000	2.47754	0.01556
11.75000	2.47995	0.01368
11.80000	2.48245	0.01258
11.85000	2.48490	0.01212
11.90000	2.48735	0.01164
11.95000	2.48989	0.01078
12.00000	2.49236	0.01034
12.05000	2.49488	0.00985
12.10000	2.49743	0.01018
12.15000	2.49988	0.00955
12.20000	2.50203	0.00982
12.25000	2.50090	0.00944
12.30000	2.50086	0.01018
12.35000	2.50093	0.00999
12.40000	2.50087	0.01011
