Wavelength (nm)	Rel. spec. intensity (dB)
833.900	29.841
833.925	29.841
833.949	29.872
833.974	29.894
833.998	29.903
834.023	29.872
834.047	29.818
834.072	29.795
834.096	29.908
834.121	29.921
834.145	29.886
834.170	29.850
834.194	29.859
834.219	29.886
834.243	29.791
834.268	29.863
834.292	29.854
834.317	29.841
834.341	29.809
834.366	29.917
834.390	29.832
834.414	29.773
834.439	29.795
834.463	29.877
834.488	29.859
834.512	29.859
834.537	29.795
834.561	29.845
834.585	29.773
834.610	29.841
834.634	29.872
834.659	29.809
834.683	29.934
834.707	29.872
834.732	29.791
834.756	29.854
834.781	29.859
834.805	29.845
834.829	29.809
834.854	29.850
834.878	29.872
834.903	29.823
834.927	29.823
834.951	29.809
834.976	29.841
835.000	29.877
835.024	29.868
835.049	29.881
835.073	29.877
835.097	29.908
835.122	29.827
835.146	29.850
835.170	29.818
835.195	29.814
835.219	29.926
835.243	29.899
835.268	29.850
835.292	29.845
835.316	29.881
835.341	29.786
835.365	29.845
835.389	29.881
835.414	29.859
835.438	29.823
835.462	29.800
835.487	29.823
835.511	29.872
835.535	29.814
835.560	29.899
835.584	29.881
835.608	29.800
835.632	29.863
835.657	29.872
835.681	29.836
835.705	29.827
835.729	29.809
835.754	29.881
835.778	29.823
835.802	29.827
835.826	29.836
835.851	29.809
835.875	29.894
835.899	29.912
835.923	29.850
835.948	29.841
835.972	29.795
835.996	29.943
836.020	29.903
836.045	29.836
836.069	29.845
836.093	29.845
836.117	29.908
836.141	29.868
836.166	29.809
836.190	29.818
836.214	29.777
836.238	29.850
836.262	29.818
836.287	29.809
836.311	29.872
836.335	29.854
836.359	29.894
836.383	29.868
836.408	29.854
836.432	29.903
836.456	29.832
836.480	29.868
836.504	29.832
836.528	29.854
836.552	29.782
836.577	29.832
836.601	29.894
836.625	29.908
836.649	29.814
836.673	29.845
836.697	29.814
836.721	29.868
836.746	29.809
836.770	29.859
836.794	29.917
836.818	29.934
836.842	29.872
836.866	29.782
836.890	29.814
836.914	29.754
836.939	29.708
836.963	29.814
836.987	29.868
837.011	29.859
837.035	29.899
837.059	29.917
837.083	29.859
837.107	29.841
837.131	29.809
837.155	29.863
837.179	29.782
837.203	29.850
837.228	29.836
837.252	29.881
837.276	29.818
837.300	29.832
837.324	29.877
837.348	29.832
837.372	29.850
837.396	29.850
837.420	29.868
837.444	29.845
837.468	29.926
837.492	29.786
837.516	29.863
837.540	29.872
837.564	29.782
837.588	29.845
837.612	29.850
837.636	29.877
837.660	29.872
837.684	29.877
837.708	29.791
837.732	29.827
837.756	29.872
837.780	29.868
837.804	29.926
837.828	29.823
837.852	29.791
837.876	29.754
837.900	29.791
837.924	29.845
837.948	29.868
837.972	29.868
837.996	29.877
838.020	29.795
838.044	29.736
838.068	29.827
838.092	29.823
838.116	29.836
838.140	29.818
838.163	29.917
838.187	29.818
838.211	29.827
838.235	29.827
838.259	29.894
838.283	29.773
838.307	29.814
838.331	29.809
838.355	29.845
838.379	29.854
838.403	29.832
838.427	29.881
838.450	29.818
838.474	29.886
838.498	29.845
838.522	29.795
838.546	29.934
838.570	29.890
838.594	29.850
838.618	29.764
838.642	29.841
838.665	29.886
838.689	29.890
838.713	29.912
838.737	29.863
838.761	29.832
838.785	29.832
838.809	29.877
838.832	29.934
838.856	29.912
838.880	30.022
838.904	29.881
838.928	29.863
838.952	29.912
838.975	29.764
838.999	29.814
839.023	29.912
839.047	29.845
839.071	29.795
839.094	29.773
839.118	29.881
839.142	29.786
839.166	29.823
839.190	29.809
839.213	29.850
839.237	29.868
839.261	29.890
839.285	29.886
839.309	29.877
839.332	29.759
839.356	29.872
839.380	29.890
839.404	29.868
839.427	29.818
839.451	29.845
839.475	29.934
839.499	29.890
839.522	29.868
839.546	29.859
839.570	29.850
839.594	29.777
839.617	29.863
839.641	29.859
839.665	29.795
839.689	29.827
839.712	29.832
839.736	29.868
839.760	29.908
839.784	29.854
839.807	29.863
839.831	29.859
839.855	29.877
839.878	29.845
839.902	29.827
839.926	29.926
839.949	29.877
839.973	29.899
839.997	29.845
840.021	29.832
840.044	29.809
840.068	29.764
840.091	29.795
840.115	29.841
840.139	29.894
840.163	29.841
840.186	29.850
840.210	29.859
840.233	29.859
840.257	29.836
840.281	29.800
840.304	29.859
840.328	29.836
840.352	29.863
840.375	29.795
840.399	29.881
840.423	29.800
840.446	29.823
840.470	29.859
840.493	29.823
840.517	29.836
840.541	29.877
840.564	29.912
840.588	29.850
840.612	29.863
840.635	29.836
840.659	29.832
840.682	29.832
840.706	29.854
840.729	29.836
840.753	29.823
840.777	29.854
840.800	29.809
840.824	29.818
840.847	29.836
840.871	29.827
840.894	29.795
840.918	29.823
840.942	29.786
840.965	29.881
840.989	29.868
841.012	29.854
841.036	29.854
841.059	29.872
841.083	29.800
841.106	29.809
841.130	29.845
841.153	29.782
841.177	29.800
841.200	29.814
841.224	29.777
841.247	29.805
841.271	29.832
841.294	29.961
841.318	29.859
841.341	29.859
841.365	29.854
841.388	29.903
841.412	29.809
841.435	29.832
841.459	29.894
841.482	29.859
841.506	29.877
841.529	29.899
841.553	29.841
841.576	29.754
841.600	29.805
841.623	29.800
841.647	29.777
841.670	29.800
841.694	29.859
841.717	29.805
841.741	29.890
841.764	29.850
841.787	29.868
841.811	29.863
841.834	29.868
841.858	29.827
841.881	29.805
841.905	29.850
841.928	29.868
841.951	29.845
841.975	29.877
841.998	29.841
842.022	29.850
842.045	29.818
842.068	29.863
842.092	29.795
842.115	29.850
842.139	29.877
842.162	29.823
842.185	29.868
842.209	29.859
842.232	29.827
842.255	29.764
842.279	29.823
842.302	29.881
