Wavelength (nm)	Rel. spec. intensity (dB)
841.858	29.713
841.881	29.703
841.905	29.689
841.928	29.795
841.951	29.736
841.975	29.708
841.998	29.745
842.022	29.685
842.045	29.685
842.068	29.722
842.092	29.750
842.115	29.638
842.139	29.657
842.162	29.754
842.185	29.736
842.209	29.652
842.232	29.689
842.255	29.768
842.279	29.736
842.302	29.731
842.326	29.745
842.349	29.741
842.372	29.727
842.396	29.717
842.419	29.671
842.442	29.736
842.466	29.689
842.489	29.699
842.512	29.713
842.536	29.685
842.559	29.680
842.582	29.713
842.606	29.750
842.629	29.731
842.652	29.745
842.676	29.717
842.699	29.694
842.722	29.722
842.746	29.750
842.769	29.754
842.792	29.741
842.815	29.647
842.839	29.782
842.862	29.722
842.885	29.689
842.909	29.768
842.932	29.675
842.955	29.773
842.978	29.750
843.002	29.791
843.025	29.717
843.048	29.638
843.071	29.708
843.095	29.680
843.118	29.727
843.141	29.727
843.164	29.750
843.188	29.661
843.211	29.680
843.234	29.708
843.257	29.777
843.281	29.745
843.304	29.689
843.327	29.717
843.350	29.671
843.374	29.736
843.397	29.786
843.420	29.805
843.443	29.759
843.466	29.759
843.490	29.722
843.513	29.736
843.536	29.699
843.559	29.713
843.582	29.699
843.606	29.759
843.629	29.713
843.652	29.703
843.675	29.736
843.698	29.680
843.721	29.666
843.745	29.708
843.768	29.764
843.791	29.717
843.814	29.708
843.837	29.786
843.860	29.717
843.883	29.759
843.907	29.722
843.930	29.708
843.953	29.731
843.976	29.694
843.999	29.782
844.022	29.795
844.045	29.750
844.069	29.731
844.092	29.741
844.115	29.722
844.138	29.675
844.161	29.657
844.184	29.624
844.207	29.736
844.230	29.717
844.253	29.708
844.276	29.736
844.300	29.741
844.323	29.777
844.346	29.717
844.369	29.741
844.392	29.689
844.415	29.759
844.438	29.713
844.461	29.773
844.484	29.703
844.507	29.731
844.530	29.722
844.553	29.805
844.576	29.703
844.599	29.722
844.622	29.717
844.645	29.708
844.668	29.689
844.692	29.685
844.715	29.731
844.738	29.647
844.761	29.699
844.784	29.680
844.807	29.713
844.830	29.759
844.853	29.722
844.876	29.689
844.899	29.717
844.922	29.703
844.945	29.791
844.968	29.745
844.991	29.745
845.014	29.699
845.037	29.727
845.060	29.764
845.083	29.717
845.105	29.666
845.128	29.671
845.151	29.782
845.174	29.694
845.197	29.750
845.220	29.754
845.243	29.818
845.266	29.841
845.289	29.750
845.312	29.773
845.335	29.722
845.358	29.745
845.381	29.708
845.404	29.736
845.427	29.736
845.450	29.727
845.473	29.791
845.496	29.671
845.518	29.750
845.541	29.713
845.564	29.722
845.587	29.717
845.610	29.814
845.633	29.745
845.656	29.717
845.679	29.699
845.702	29.713
845.724	29.717
845.747	29.685
845.770	29.750
845.793	29.717
845.816	29.736
845.839	29.694
845.862	29.717
845.885	29.699
845.907	29.722
845.930	29.685
845.953	29.661
845.976	29.703
845.999	29.713
846.022	29.694
846.045	29.759
846.067	29.699
846.090	29.731
846.113	29.699
846.136	29.680
846.159	29.699
846.182	29.694
846.204	29.689
846.227	29.671
846.250	29.754
846.273	29.727
846.296	29.703
846.318	29.750
846.341	29.741
846.364	29.717
846.387	29.754
846.410	29.708
846.432	29.689
846.455	29.750
846.478	29.708
846.501	29.708
846.523	29.750
846.546	29.934
846.569	29.987
846.592	29.912
846.614	29.786
846.637	29.823
846.660	29.832
846.683	29.841
846.705	29.823
846.728	30.550
846.751	31.901
846.774	33.107
846.796	34.301
846.819	35.314
846.842	35.624
846.865	34.822
846.887	33.604
846.910	32.718
846.933	31.850
846.955	31.159
846.978	31.062
847.001	31.575
847.023	32.320
847.046	33.124
847.069	33.589
847.092	32.911
847.114	31.847
847.137	30.734
847.160	30.056
847.182	29.795
847.205	29.694
847.228	29.703
847.250	29.750
847.273	29.741
847.296	29.713
847.318	29.800
847.341	29.736
847.364	29.745
847.386	29.773
847.409	29.773
847.432	29.745
847.454	29.713
847.477	29.713
847.499	29.736
847.522	29.791
847.545	29.708
847.567	29.750
847.590	29.694
847.613	29.685
847.635	29.685
847.658	29.680
847.680	29.722
847.703	29.727
847.726	29.685
847.748	29.750
847.771	29.791
847.793	29.675
847.816	29.736
847.839	29.736
847.861	29.708
847.884	29.722
847.906	29.741
847.929	29.745
847.951	29.713
847.974	29.768
847.996	29.736
848.019	29.736
848.042	29.741
848.064	29.777
848.087	29.741
848.109	29.777
848.132	29.722
848.154	29.800
848.177	29.741
848.199	29.727
848.222	29.717
848.244	29.764
848.267	29.759
848.289	29.727
848.312	29.731
848.334	29.666
848.357	29.786
848.379	29.764
848.402	29.750
848.424	29.717
848.447	29.713
848.469	29.754
848.492	29.741
848.514	29.689
848.537	29.773
848.559	29.727
848.582	29.703
848.604	29.791
848.627	29.671
848.649	29.624
848.672	29.628
848.694	29.661
848.717	29.717
848.739	29.786
848.761	29.643
848.784	29.777
848.806	29.703
848.829	29.805
848.851	29.699
848.874	29.699
848.896	29.647
848.919	29.736
848.941	29.657
848.963	29.703
848.986	29.694
849.008	29.759
849.031	29.754
849.053	29.759
849.075	29.745
849.098	29.791
849.120	29.657
849.143	29.657
849.165	29.666
849.187	29.694
